"app_id","full_audio_languages"
"252490","German"
"252490","English"
"252490","French"
"252490","Vietnamese"
"252490","Ukrainian"
"252490","Korean"
"252490","Spanish - Spain"
"252490","Polish"
"252490","Simplified Chinese"
"252490","Japanese"
"252490","Turkish"
"252490","Russian"
"252490","Italian"
"252490","Portuguese - Portugal"
"2358720","Czech"
"2358720","Simplified Chinese"
"2358720","English"
"1245620","Arabic"
"1245620","English"
"553850","German"
"553850","English"
"553850","French"
"553850","Portuguese - Brazil"
"553850","Traditional Chinese"
"553850","Spanish - Spain"
"553850","Japanese"
"553850","Spanish - Latin America"
"553850","Italian"
"1172470","German"
"1172470","English"
"1172470","French"
"1172470","Korean"
"1172470","Spanish - Spain"
"1172470","Polish"
"1172470","Simplified Chinese"
"1172470","Japanese"
"1172470","Arabic"
"1172470","Russian"
"1172470","Italian"
"1091500","German"
"1091500","English"
"1091500","French"
"1091500","Portuguese - Brazil"
"1091500","Ukrainian"
"1091500","Korean"
"1091500","Spanish - Spain"
"1091500","Polish"
"1091500","Simplified Chinese"
"1091500","Japanese"
"1091500","Russian"
"1091500","Italian"
"739630","English"
"739630","Catalan"
"1086940","Japanese"
"1086940","English"
"1174180","English"
"1174180","Portuguese - Brazil"
"346110","German"
"346110","Portuguese - Brazil"
"346110","Spanish - Spain"
"346110","Russian"
"346110","Dutch"
"346110","Turkish"
"346110","Italian"
"346110","English"
"346110","Traditional Chinese"
"346110","Ukrainian"
"346110","Danish"
"346110","Hungarian"
"346110","Japanese"
"346110","Czech"
"346110","Finnish"
"346110","French"
"346110","Thai"
"346110","Korean"
"346110","Swedish"
"346110","Polish"
"346110","Simplified Chinese"
"1938090","German"
"1938090","English"
"1938090","French"
"1938090","Portuguese - Brazil"
"1938090","Spanish - Spain"
"1938090","Simplified Chinese"
"1938090","Japanese"
"1938090","Spanish - Latin America"
"1938090","Italian"
"242760","English"
"242760","Spanish - Spain"
"1085660","German"
"1085660","English"
"1085660","French"
"1085660","Portuguese - Brazil"
"1085660","Traditional Chinese"
"1085660","Korean"
"1085660","Spanish - Spain"
"1085660","Polish"
"1085660","Simplified Chinese"
"1085660","Japanese"
"1085660","Spanish - Latin America"
"1085660","Russian"
"1085660","Italian"
"322330","German"
"322330","English"
"322330","French"
"322330","Traditional Chinese"
"322330","Korean"
"322330","Polish"
"322330","Japanese"
"322330","Simplified Chinese"
"322330","Spanish - Latin America"
"322330","Russian"
"322330","Italian"
"322330","Portuguese - Portugal"
"582010","German"
"582010","English"
"582010","French"
"582010","Spanish - Spain"
"582010","Japanese"
"582010","Spanish - Latin America"
"582010","Italian"
"1966720","English"
"367520","German"
"367520","English"
"367520","French"
"367520","Portuguese - Brazil"
"367520","Korean"
"367520","Spanish - Spain"
"367520","Japanese"
"367520","Simplified Chinese"
"367520","Russian"
"367520","Italian"
"374320","Korean"
"374320","English"
"291550","English"
"291550","Turkish"
"1172620","Thai"
"1172620","English"
"275850","German"
"275850","English"
"275850","French"
"275850","Portuguese - Brazil"
"275850","Traditional Chinese"
"275850","Korean"
"275850","Spanish - Spain"
"275850","Polish"
"275850","Simplified Chinese"
"275850","Japanese"
"275850","Russian"
"275850","Italian"
"275850","Portuguese - Portugal"
"289070","German"
"289070","English"
"289070","French"
"289070","Traditional Chinese"
"289070","Korean"
"289070","Spanish - Spain"
"289070","Polish"
"289070","Simplified Chinese"
"289070","Japanese"
"289070","Russian"
"289070","Italian"
"444090","Japanese"
"444090","English"
"648800","Swedish"
"648800","English"
"548430","English"
"548430","Romanian"
"489830","German"
"489830","English"
"489830","French"
"489830","Spanish - Spain"
"489830","Polish"
"489830","Japanese"
"489830","Russian"
"489830","Italian"
"1203220","English"
"1203220","Traditional Chinese"
"1203220","Thai"
"1203220","Korean"
"1203220","Japanese"
"1203220","Simplified Chinese"
"814380","German"
"814380","English"
"814380","French"
"814380","Portuguese - Brazil"
"814380","Spanish - Spain"
"814380","Japanese"
"814380","Italian"
"990080","German"
"990080","English"
"990080","French"
"990080","Portuguese - Brazil"
"990080","Traditional Chinese"
"990080","Spanish - Spain"
"990080","Japanese"
"990080","Spanish - Latin America"
"990080","Italian"
"264710","English"
"264710","Slovak"
"2767030","Japanese"
"2767030","Simplified Chinese"
"2767030","Arabic"
"2767030","English"
"1063730","German"
"1063730","English"
"1063730","French"
"1063730","Portuguese - Brazil"
"1063730","Spanish - Spain"
"1063730","Spanish - Latin America"
"1145360","Japanese"
"1145360","English"
"261550","German"
"261550","English"
"1237970","German"
"1237970","English"
"1237970","French"
"1237970","Traditional Chinese"
"1237970","Spanish - Spain"
"1237970","Polish"
"1237970","Spanish - Latin America"
"1237970","Russian"
"1237970","Italian"
"1237970","Portuguese - Portugal"
"1326470","English"
"1326470","Turkish"
"1238810","German"
"1238810","English"
"1238810","French"
"1238810","Portuguese - Brazil"
"1238810","Traditional Chinese"
"1238810","Spanish - Spain"
"1238810","Japanese"
"1238810","Arabic"
"1238810","Spanish - Latin America"
"1238810","Italian"
"594650","Traditional Chinese"
"594650","Simplified Chinese"
"594650","English"
"1144200","English"
"1144200","Russian"
"526870","Ukrainian"
"526870","English"
"1551360","German"
"1551360","English"
"1551360","French"
"1551360","Portuguese - Brazil"
"1551360","Traditional Chinese"
"1551360","Korean"
"1551360","Spanish - Spain"
"1551360","Simplified Chinese"
"1551360","Japanese"
"1551360","Turkish"
"1551360","Spanish - Latin America"
"1551360","Italian"
"2246340","German"
"2246340","English"
"2246340","French"
"2246340","Portuguese - Brazil"
"2246340","Korean"
"2246340","Spanish - Spain"
"2246340","Japanese"
"2246340","Simplified Chinese"
"2246340","Russian"
"2246340","Italian"
"1426210","German"
"1426210","English"
"1426210","French"
"1426210","Traditional Chinese"
"1426210","Spanish - Spain"
"1426210","Japanese"
"700330","Galician"
"700330","English"
"477160","Traditional Chinese"
"477160","English"
"698780","English"
"393380","Ukrainian"
"393380","English"
"379720","German"
"379720","English"
"379720","French"
"379720","Portuguese - Brazil"
"379720","Traditional Chinese"
"379720","Spanish - Spain"
"379720","Polish"
"379720","Japanese"
"379720","Russian"
"379720","Italian"
"782330","German"
"782330","English"
"782330","French"
"782330","Portuguese - Brazil"
"782330","Spanish - Spain"
"782330","Polish"
"782330","Japanese"
"782330","Spanish - Latin America"
"782330","Russian"
"782330","Italian"
"3164500","English"
"433850","Simplified Chinese"
"433850","English"
"1599340","English"
"1599340","Spanish - Spain"
"534380","German"
"534380","English"
"534380","French"
"534380","Portuguese - Brazil"
"534380","Spanish - Spain"
"534380","Polish"
"534380","Simplified Chinese"
"534380","Japanese"
"534380","Spanish - Latin America"
"534380","Russian"
"534380","Turkish"
"1238840","German"
"1238840","English"
"1238840","French"
"1238840","Portuguese - Brazil"
"1238840","Spanish - Spain"
"1238840","Turkish"
"1238840","Japanese"
"1238840","Arabic"
"1238840","Spanish - Latin America"
"1238840","Italian"
"435150","Japanese"
"435150","English"
"3241660","English"
"2050650","German"
"2050650","English"
"2050650","French"
"2050650","Portuguese - Brazil"
"2050650","Spanish - Spain"
"2050650","Simplified Chinese"
"2050650","Japanese"
"2050650","Spanish - Latin America"
"2050650","Russian"
"2050650","Italian"
"518790","Japanese"
"518790","English"
"1240440","German"
"1240440","English"
"1240440","French"
"1240440","Portuguese - Brazil"
"1240440","Traditional Chinese"
"1240440","Korean"
"1240440","Spanish - Spain"
"1240440","Simplified Chinese"
"1240440","Japanese"
"1240440","Spanish - Latin America"
"1240440","Russian"
"1240440","Italian"
"1240440","Portuguese - Portugal"
"12210","English"
"12210","Spanish - Spain"
"552520","German"
"552520","English"
"552520","French"
"552520","Portuguese - Brazil"
"552520","Traditional Chinese"
"552520","Spanish - Spain"
"552520","Japanese"
"552520","Russian"
"552520","Italian"
"883710","German"
"883710","English"
"883710","French"
"883710","Spanish - Spain"
"883710","Japanese"
"883710","Simplified Chinese"
"883710","Spanish - Latin America"
"883710","Italian"
"812140","German"
"812140","English"
"812140","French"
"812140","Portuguese - Brazil"
"812140","Traditional Chinese"
