"app_id","categories"
"578080","Online PvP"
"578080","Remote Play on Tablet"
"578080","Stats"
"578080","PvP"
"578080","Remote Play on Phone"
"578080","Multi-player"
"252490","Online PvP"
"252490","Steam Workshop"
"252490","Steam Trading Cards"
"252490","Co-op"
"252490","Online Co-op"
"252490","MMO"
"252490","Cross-Platform Multiplayer"
"252490","Steam Achievements"
"252490","Remote Play on Tablet"
"252490","In-App Purchases"
"252490","Valve Anti-Cheat enabled"
"252490","Stats"
"252490","PvP"
"252490","Multi-player"
"2358720","Full controller support"
"2358720","Steam Trading Cards"
"2358720","Stereo Sound"
"2358720","Surround Sound"
"2358720","Steam Achievements"
"2358720","Family Sharing"
"2358720","Playable without Timed Input"
"2358720","Steam Cloud"
"2358720","Single-player"
"1245620","Save Anytime"
"1245620","Camera Comfort"
"1245620","Online PvP"
"1245620","Full controller support"
"1245620","Steam Trading Cards"
"1245620","Co-op"
"1245620","Stereo Sound"
"1245620","Online Co-op"
"1245620","Surround Sound"
"1245620","Steam Achievements"
"1245620","Family Sharing"
"1245620","Playable without Timed Input"
"1245620","Steam Cloud"
"1245620","PvP"
"1245620","Custom Volume Controls"
"1245620","Multi-player"
"1245620","Single-player"
"553850","Stereo Sound"
"553850","Steam Achievements"
"553850","Playable without Timed Input"
"553850","Narrated Game Menus"
"553850","Camera Comfort"
"553850","Co-op"
"553850","Surround Sound"
"553850","Family Sharing"
"553850","In-App Purchases"
"553850","Partial Controller Support"
"553850","Subtitle Options"
"553850","Custom Volume Controls"
"553850","Multi-player"
"553850","Color Alternatives"
"553850","Adjustable Text Size"
"553850","Adjustable Difficulty"
"553850","Chat Text-to-speech"
"553850","Online Co-op"
"553850","Chat Speech-to-text"
"1172470","Online PvP"
"1172470","Full controller support"
"1172470","Steam Trading Cards"
"1172470","Co-op"
"1172470","Online Co-op"
"1172470","Steam Achievements"
"1172470","Playable without Timed Input"
"1172470","In-App Purchases"
"1172470","Chat Speech-to-text"
"1172470","PvP"
"1172470","Multi-player"
"431960","Includes level editor"
"431960","Steam Workshop"
"431960","Steam Trading Cards"
"431960","Steam Achievements"
"413150","Remote Play Together"
"413150","Full controller support"
"413150","Steam Trading Cards"
"413150","Co-op"
"413150","LAN Co-op"
"413150","Online Co-op"
"413150","Steam Achievements"
"413150","Remote Play on Tablet"
"413150","Family Sharing"
"413150","Shared/Split Screen Co-op"
"413150","Steam Cloud"
"413150","Remote Play on Phone"
"413150","Shared/Split Screen"
"413150","Multi-player"
"413150","Single-player"
"1091500","Adjustable Text Size"
"1091500","Camera Comfort"
"1091500","Adjustable Difficulty"
"1091500","Save Anytime"
"1091500","Full controller support"
"1091500","Steam Trading Cards"
"1091500","Stereo Sound"
"1091500","Surround Sound"
"1091500","Steam Achievements"
"1091500","Family Sharing"
"1091500","Playable without Timed Input"
"1091500","Steam Cloud"
"1091500","Custom Volume Controls"
"1091500","Subtitle Options"
"1091500","Single-player"
"1091500","Color Alternatives"
"739630","Adjustable Difficulty"
"739630","Camera Comfort"
"739630","Full controller support"
"739630","Tracked Controller Support"
"739630","Co-op"
"739630","Steam Trading Cards"
"739630","Online Co-op"
"739630","VR Supported"
"739630","Stereo Sound"
"739630","Surround Sound"
"739630","Steam Achievements"
"739630","Remote Play on Tablet"
"739630","Family Sharing"
"739630","Playable without Timed Input"
"739630","Steam Cloud"
"739630","Remote Play on Phone"
"739630","Multi-player"
"739630","Single-player"
"1086940","Remote Play Together"
"1086940","Steam Trading Cards"
"1086940","Stereo Sound"
"1086940","Steam Achievements"
"1086940","Playable without Timed Input"
"1086940","Remote Play on TV"
"1086940","Save Anytime"
"1086940","Camera Comfort"
"1086940","Co-op"
"1086940","Surround Sound"
"1086940","Cross-Platform Multiplayer"
"1086940","Family Sharing"
"1086940","Subtitle Options"
"1086940","Single-player"
"1086940","Steam Cloud"
"1086940","Full controller support"
"1086940","LAN Co-op"
"1086940","Custom Volume Controls"
"1086940","Multi-player"
"1086940","Color Alternatives"
"1086940","Adjustable Text Size"
"1086940","Adjustable Difficulty"
"1086940","Online Co-op"
"1174180","Online PvP"
"1174180","Co-op"
"1174180","Online Co-op"
"1174180","Steam Achievements"
"1174180","Remote Play on Tablet"
"1174180","In-App Purchases"
"1174180","Partial Controller Support"
"1174180","PvP"
"1174180","Remote Play on Phone"
"1174180","Multi-player"
"1174180","Single-player"
"346110","Steam Workshop"
"346110","Full controller support"
"346110","Co-op"
"346110","MMO"
"346110","Steam Achievements"
"346110","Remote Play on Tablet"
"346110","Family Sharing"
"346110","Valve Anti-Cheat enabled"
"346110","Steam Cloud"
"346110","Multi-player"
"346110","Single-player"
"346110","Includes level editor"
"1938090","Stereo Sound"
"1938090","Steam Achievements"
"1938090","Playable without Timed Input"
"1938090","Captions available"
"1938090","Camera Comfort"
"1938090","Online PvP"
"1938090","Co-op"
"1938090","Surround Sound"
"1938090","Cross-Platform Multiplayer"
"1938090","HDR available"
"1938090","In-App Purchases"
"1938090","Partial Controller Support"
"1938090","Subtitle Options"
"1938090","Single-player"
"1938090","Custom Volume Controls"
"1938090","PvP"
"1938090","Multi-player"
"1938090","Color Alternatives"
"1938090","Adjustable Text Size"
"1938090","Online Co-op"
"945360","Online PvP"
"945360","Full controller support"
"945360","Steam Trading Cards"
"945360","Co-op"
"945360","LAN Co-op"
"945360","Online Co-op"
"945360","Remote Play on Phone"
"945360","Cross-Platform Multiplayer"
"945360","Steam Achievements"
"945360","Remote Play on Tablet"
"945360","Family Sharing"
"945360","In-App Purchases"
"945360","PvP"
"945360","LAN PvP"
"945360","Multi-player"
"242760","Tracked Controller Support"
"242760","Co-op"
"242760","LAN Co-op"
"242760","Online Co-op"
"242760","VR Supported"
"242760","Family Sharing"
"242760","Partial Controller Support"
"242760","Steam Cloud"
"242760","Multi-player"
"242760","Single-player"
"1085660","Online PvP"
"1085660","Co-op"
"1085660","Online Co-op"
"1085660","Steam Achievements"
"1085660","Subtitle Options"
"1085660","In-App Purchases"
"1085660","Partial Controller Support"
"1085660","PvP"
"1085660","Custom Volume Controls"
"1085660","Multi-player"
"1085660","Single-player"
"1085660","Color Alternatives"
"304930","Steam Workshop"
"304930","Steam Trading Cards"
"304930","Stereo Sound"
"304930","Steam Achievements"
"304930","Remote Play on Tablet"
"304930","Playable without Timed Input"
"304930","Valve Anti-Cheat enabled"
"304930","Camera Comfort"
"304930","Online PvP"
"304930","Co-op"
"304930","In-App Purchases"
"304930","Steam Cloud"
"304930","Single-player"
"304930","Includes level editor"
"304930","LAN Co-op"
"304930","Stats"
"304930","Custom Volume Controls"
"304930","LAN PvP"
"304930","PvP"
"304930","Multi-player"
"304930","Adjustable Difficulty"
"304930","Online Co-op"
"892970","Adjustable Difficulty"
"892970","Camera Comfort"
"892970","Save Anytime"
"892970","Full controller support"
"892970","Co-op"
"892970","Stereo Sound"
"892970","Online Co-op"
"892970","Remote Play on Tablet"
"892970","Family Sharing"
