"app_id","developers"
"578080","PUBG Corporation"
"252490","Facepunch Studios"
"2358720","Game Science"
"1245620","FromSoftware, Inc."
"553850","Arrowhead Game Studios"
"1172470","Respawn"
"431960","Wallpaper Engine Team"
"413150","ConcernedApe"
"1091500","CD PROJEKT RED"
"739630","Kinetic Games"
"1086940","Larian Studios"
"1174180","Rockstar Games"
"346110","Virtual Basement LLC"
"346110","Studio Wildcard"
"346110","Efecto Studios"
"346110","Instinct Games"
"1938090","Demonware"
"1938090","Treyarch"
"1938090","Infinity Ward"
"1938090","Beenox"
"1938090","Raven Software"
"1938090","High Moon Studios"
"1938090","Activision Shanghai"
"1938090","Sledgehammer Games"
"945360","Innersloth"
"242760","Endnight Games Ltd"
"1085660","Bungie"
"304930","Smartly Dressed Games"
"892970","Iron Gate AB"
"322330","Klei Entertainment"
"582010","CAPCOM Co., Ltd."
"1966720","Zeekerss"
"1097150","Mediatonic"
"221100","Bohemia Interactive"
"367520","Team Cherry"
"374320","FromSoftware, Inc."
"291550","Blue Mammoth Games"
"1623730","Pocketpair"
"251570","The Fun Pimps"
"1172620","Rare Ltd"
"960090","Ninja Kiwi"
"275850","Hello Games"
"289070","Firaxis Games"
"289070","Aspyr (Mac)"
"289070","Aspyr (Linux)"
"444090","Evil Mojo Games"
"648800","Redbeet Interactive"
"548430","Ghost Ship Games"
"394360","Paradox Development Studio"
"489830","Bethesda Game Studios"
"1203220","24 Entertainment"
"814380","FromSoftware, Inc."
"990080","Avalanche Software"
"264710","Unknown Worlds Entertainment"
"632360","Hopoo Games"
"2767030","NetEase Games"
"1063730","Amazon Games"
"1118200","mestiez"
"1145360","Supergiant Games"
"261550","TaleWorlds Entertainment"
"1237970","Respawn Entertainment"
"1326470","Endnight Games Ltd"
"1794680","poncle"
"1238810","DICE"
"594650","Crytek"
"438100","VRChat Inc."
"1144200","VOID Interactive"
"526870","Coffee Stain Studios"
"1468810","鬼谷工作室"
"1551360","Playground Games"
"2246340","CAPCOM Co., Ltd."
"1426210","Hazelight Studios"
"427520","Wube Software LTD."
"700330","Northwood Studios"
"477160","No Brakes Games"
"698780","Team Salvato"
"393380","Offworld"
"294100","Ludeon Studios"
"379720","id Software"
"782330","id Software"
"3164500","TVGS"
"433850","Daybreak Game Company"
"1599340","Smilegate RPG"
"534380","Techland"
"1238840","DICE"
"435150","Larian Studios"
"268910","Studio MDHR Entertainment Inc."
"3241660","semiwork"
"646570","Mega Crit"
"2050650","CAPCOM Co., Ltd."
"518790","Expansive Worlds"
"1240440","343 Industries"
"270880","SCS Software"
"12210","Rockstar North"
"12210","Rockstar Toronto"
"552520","Ubisoft Toronto"
"552520","Ubisoft Montreal"
"552520","Ubisoft Shanghai"
"552520","Ubisoft Kiev"
"552520","Red Storm"
"883710","CAPCOM Co., Ltd."
"812140","Ubisoft Singapore"
"812140","Ubisoft Montreal"
"812140","Ubisoft Shanghai"
"812140","Ubisoft Bucharest"
"812140","Ubisoft Kiev"
"812140","Ubisoft Montpellier"
"812140","Ubisoft Quebec"
"1222670","Maxis"
"1229490","Arsi """"Hakita"""" Patala"
"1222140","Quantic Dream"
"2694490","Grinding Gear Games"
"588650","Motion Twin"
"1716740","Bethesda Game Studios"
"211820","Chucklefish"
"2183900","Saber Interactive"
"813780","Tantalus Media"
"813780","CaptureAge"
"813780","Wicked Witch"
"813780","World's Edge"
"813780","Forgotten Empires"
"379430","Warhorse Studios"
"1172380","Respawn Entertainment"
