"app_id","total_reactions","reaction_1","reaction_2","reaction_3","reaction_4","reaction_5","reaction_6","reaction_7","reaction_8","reaction_9","reaction_10","reaction_11","reaction_12","reaction_13","reaction_15","reaction_16","reaction_17","reaction_19","reaction_20","reaction_21"
"578080","31","1","2","9","1","0","3","0","7","0","1","0","0","3","2","1","1","0","0","0"
"252490","5","0","0","0","0","0","0","0","2","0","0","0","0","2","0","0","1","0","0","0"
"2358720","11","4","0","1","1","0","0","1","0","0","0","2","0","0","1","1","0","0","0","0"
"1245620","67","16","3","13","2","2","11","1","1","2","0","6","3","1","2","0","0","0","1","3"
"553850","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1172470","43","4","6","5","1","3","7","1","9","2","0","2","0","1","0","2","0","0","0","0"
"431960","3","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"413150","52","5","3","11","3","2","0","12","5","2","0","3","3","0","1","1","1","0","0","0"
"1091500","157","27","3","18","6","9","2","5","1","10","16","9","17","15","2","3","3","1","2","8"
"739630","5","0","0","0","0","1","1","0","3","0","0","0","0","0","0","0","0","0","0","0"
"1086940","62","13","9","12","0","1","4","3","4","0","5","4","6","0","0","1","0","0","0","0"
"1174180","245","63","12","40","13","8","7","25","4","4","30","11","19","1","2","3","0","0","1","2"
"346110","4","1","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0"
"1938090","16","0","1","2","5","0","1","2","1","1","0","3","0","0","0","0","0","0","0","0"
"945360","43","5","5","7","2","2","2","3","9","1","1","3","1","0","0","0","0","1","1","0"
"242760","5","0","0","1","0","0","0","1","2","0","0","0","1","0","0","0","0","0","0","0"
"1085660","46","2","2","9","1","1","1","3","5","2","0","1","3","1","6","5","0","0","0","4"
"304930","5","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1","1","0","0","0"
"892970","7","0","0","1","0","0","1","0","1","0","0","0","0","1","1","1","1","0","0","0"
"322330","25","3","0","5","0","0","4","2","9","1","0","0","1","0","0","0","0","0","0","0"
"582010","46","10","5","8","2","2","3","0","8","2","0","1","1","0","1","2","0","0","0","1"
"1966720","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1097150","38","1","6","3","0","2","5","0","9","0","0","0","2","2","2","4","0","0","0","2"
"221100","11","1","0","0","1","1","2","0","3","1","0","0","0","1","0","1","0","0","0","0"
"367520","91","19","3","16","3","2","14","5","0","1","6","6","15","0","0","1","0","0","0","0"
"374320","40","5","0","1","3","1","13","0","1","0","0","3","4","0","2","2","2","1","1","1"
"291550","11","1","1","1","1","0","1","1","4","0","0","0","1","0","0","0","0","0","0","0"
"1623730","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"251570","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"1172620","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"960090","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"275850","33","2","1","4","3","3","0","5","2","4","0","2","0","1","2","2","1","0","0","1"
"289070","26","2","8","5","4","0","1","0","1","1","0","2","0","0","0","1","0","0","0","1"
"444090","8","0","0","2","1","1","0","1","0","1","0","0","1","0","1","0","0","0","0","0"
"648800","14","0","1","0","0","0","0","6","6","0","0","0","0","1","0","0","0","0","0","0"
"548430","9","0","1","1","0","0","0","0","6","0","0","0","1","0","0","0","0","0","0","0"
"394360","10","1","2","2","2","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"489830","25","4","0","4","5","1","0","3","0","0","0","3","4","0","0","1","0","0","0","0"
"1203220","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"814380","50","11","6","6","0","1","13","1","0","2","2","4","2","0","1","0","0","0","0","1"
"990080","43","5","2","10","1","1","1","6","1","3","2","3","3","0","2","1","0","1","0","1"
"264710","54","11","3","14","3","4","1","7","0","3","1","2","4","0","0","1","0","0","0","0"
"632360","16","1","3","2","0","0","1","1","2","1","0","2","2","0","0","1","0","0","0","0"
"2767030","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1063730","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1118200","26","6","1","5","2","3","1","2","1","1","0","0","1","0","1","1","0","1","0","0"
"1145360","64","14","10","14","1","0","13","0","0","1","0","2","6","0","2","1","0","0","0","0"
"261550","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1237970","69","13","3","11","6","1","4","1","5","12","7","4","2","0","0","0","0","0","0","0"
"1326470","6","1","0","1","0","0","0","1","2","0","1","0","0","0","0","0","0","0","0","0"
"1794680","17","1","3","8","0","0","2","0","0","0","0","3","0","0","0","0","0","0","0","0"
"1238810","15","0","0","2","0","1","0","1","2","2","0","0","1","1","0","2","0","2","1","0"
"594650","10","0","0","2","1","0","1","0","2","2","0","0","1","1","0","0","0","0","0","0"
"438100","2","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"1144200","14","1","1","1","1","2","2","0","3","2","0","1","0","0","0","0","0","0","0","0"
"526870","16","2","2","3","0","1","0","3","1","2","0","0","1","0","0","1","0","0","0","0"
"1468810","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1551360","12","1","2","2","1","0","0","3","1","0","0","1","1","0","0","0","0","0","0","0"
"2246340","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1426210","39","9","0","3","1","2","1","5","12","2","1","1","2","0","0","0","0","0","0","0"
"427520","28","5","3","8","2","1","1","0","3","2","0","2","0","0","0","1","0","0","0","0"
"700330","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"477160","8","0","1","2","0","0","0","0","4","0","0","1","0","0","0","0","0","0","0","0"
"698780","53","14","1","1","1","4","2","3","2","1","16","5","3","0","0","0","0","0","0","0"
"393380","7","1","1","1","1","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0"
"294100","2","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"379720","50","10","3","7","3","1","5","1","0","0","2","6","10","0","1","1","0","0","0","0"
"782330","58","11","5","6","2","2","12","1","0","2","2","2","11","0","0","1","0","1","0","0"
"3164500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"433850","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1599340","5","0","1","2","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0"
"534380","12","1","1","3","0","1","1","1","0","2","1","0","1","0","0","0","0","0","0","0"
"1238840","26","5","0","4","3","1","2","0","5","1","0","1","4","0","0","0","0","0","0","0"
"435150","21","4","3","3","1","0","1","2","3","0","2","0","2","0","0","0","0","0","0","0"
"268910","57","9","5","8","0","2","14","2","5","0","1","2","9","0","0","0","0","0","0","0"
"3241660","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"646570","7","0","5","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2050650","19","4","3","6","3","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0"
"518790","3","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0"
"1240440","11","0","1","3","0","0","0","2","0","0","0","0","0","0","2","2","0","1","0","0"
"270880","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12210","6","1","0","1","1","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0"
"552520","54","5","2","4","2","1","2","5","8","2","4","0","3","0","6","6","0","0","2","2"
"883710","32","7","2","6","0","0","5","0","2","1","1","8","0","0","0","0","0","0","0","0"
"812140","42","6","2","7","3","2","3","4","0","4","2","1","1","0","2","2","1","1","0","1"
"1222670","11","0","0","1","1","0","0","3","0","1","0","1","1","0","1","2","0","0","0","0"
"1229490","7","2","0","2","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0"
"1222140","118","24","6","16","4","7","5","8","2","10","14","12","8","0","1","0","0","0","1","0"
"2694490","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"588650","37","2","6","8","1","3","8","0","0","1","1","4","2","0","1","0","0","0","0","0"
"1716740","13","0","0","1","0","0","0","0","0","0","0","0","0","1","4","4","1","0","0","2"
"211820","3","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"2183900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"813780","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"379430","15","3","1","6","1","0","0","1","0","1","0","0","0","0","1","1","0","0","0","0"
"1172380","35","4","1","6","1","0","11","1","0","2","4","0","1","1","2","1","0","0","0","0"
"1593500","11","1","0","1","2","0","0","0","0","0","1","0","1","0","1","0","1","1","1","1"
"1332010","26","6","0","3","0","2","0","11","0","1","1","0","0","1","0","1","0","0","0","0"
"306130","4","0","0","0","0","0","0","1","0","1","0","0","0","0","1","1","0","0","0","0"
"2379780","8","1","2","1","1","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0"
"1782210","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1811260","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"304390","7","2","0","1","1","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0"
"262060","15","0","2","1","1","1","3","1","0","2","0","1","0","0","1","2","0","0","0","0"
"397540","21","0","0","1","0","0","0","3","6","1","0","2","0","1","3","2","1","0","0","1"
"444200","8","0","0","1","2","0","0","1","1","1","0","0","0","0","1","1","0","0","0","0"
"552990","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
