"app_id","supported_languages"
"578080","Italian"
"578080","German"
"578080","English"
"578080","French"
"578080","Portuguese - Brazil"
"578080","Thai"
"578080","Traditional Chinese"
"578080","Korean"
"578080","Ukrainian"
"578080","Spanish - Spain"
"578080","Polish"
"578080","Japanese"
"578080","Simplified Chinese"
"578080","Arabic"
"578080","Russian"
"578080","Turkish"
"578080","Portuguese - Portugal"
"252490","German"
"252490","Vietnamese"
"252490","Portuguese - Brazil"
"252490","Spanish - Spain"
"252490","Norwegian"
"252490","Arabic"
"252490","Russian"
"252490","Dutch"
"252490","Turkish"
"252490","Italian"
"252490","English"
"252490","Ukrainian"
"252490","Traditional Chinese"
"252490","Spanish - Latin America"
"252490","Danish"
"252490","Japanese"
"252490","Czech"
"252490","Finnish"
"252490","French"
"252490","Korean"
"252490","Swedish"
"252490","Polish"
"252490","Greek"
"252490","Simplified Chinese"
"252490","Portuguese - Portugal"
"2358720","Czech"
"2358720","German"
"2358720","English"
"2358720","French"
"2358720","Portuguese - Brazil"
"2358720","Traditional Chinese"
"2358720","Thai"
"2358720","Korean"
"2358720","Spanish - Spain"
"2358720","Polish"
"2358720","Simplified Chinese"
"2358720","Japanese"
"2358720","Turkish"
"2358720","Russian"
"2358720","Italian"
"1245620","German"
"1245620","English"
"1245620","French"
"1245620","Portuguese - Brazil"
"1245620","Thai"
"1245620","Traditional Chinese"
"1245620","Korean"
"1245620","Spanish - Spain"
"1245620","Polish"
"1245620","Simplified Chinese"
"1245620","Japanese"
"1245620","Arabic"
"1245620","Spanish - Latin America"
"1245620","Russian"
"1245620","Italian"
"553850","German"
"553850","English"
"553850","French"
"553850","Portuguese - Brazil"
"553850","Traditional Chinese"
"553850","Korean"
"553850","Spanish - Spain"
"553850","Polish"
"553850","Simplified Chinese"
"553850","Japanese"
"553850","Spanish - Latin America"
"553850","Russian"
"553850","Italian"
"553850","Portuguese - Portugal"
"1172470","German"
"1172470","English"
"1172470","French"
"1172470","Portuguese - Brazil"
"1172470","Traditional Chinese"
"1172470","Korean"
"1172470","Spanish - Spain"
"1172470","Polish"
"1172470","Simplified Chinese"
"1172470","Japanese"
"1172470","Arabic"
"1172470","Spanish - Latin America"
"1172470","Russian"
"1172470","Italian"
"431960","German"
"431960","Portuguese - Brazil"
"431960","Spanish - Spain"
"431960","Arabic"
"431960","Russian"
"431960","Turkish"
"431960","Italian"
"431960","English"
"431960","Traditional Chinese"
"431960","Ukrainian"
"431960","Indonesian"
"431960","Danish"
"431960","Japanese"
"431960","Czech"
"431960","Finnish"
"431960","French"
"431960","Thai"
"431960","Korean"
"431960","Swedish"
"431960","Persian"
"431960","Polish"
"431960","Simplified Chinese"
"431960","Portuguese - Portugal"
"413150","German"
"413150","English"
"413150","French"
"413150","Portuguese - Brazil"
"413150","Korean"
"413150","Hungarian"
"413150","Spanish - Spain"
"413150","Simplified Chinese"
"413150","Japanese"
"413150","Turkish"
"413150","Russian"
"413150","Italian"
"1091500","German"
"1091500","Portuguese - Brazil"
