"app_id","name_normalized","release_date","release_year","release_month","required_age","price","price_category","is_free","dlc_count","achievements","metacritic_score","recommendations","has_multiplayer","total_ratings","review_score"
"578080","PUBG BATTLEGROUNDS","2017-12-21","2017","12","13","0.0","Free","True","0","37","0","1753261","True","2557944","59.44"
"252490","Rust","2018-02-08","2018","2","0","19.99","Mid ($15-$30)","False","5","92","69","1081623","True","1227784","87.24"
"2358720","Black Myth Wukong","2024-08-19","2024","8","13","59.99","Premium ($30-$60)","False","2","81","0","863021","False","1150098","96.66"
"1245620","ELDEN RING","2022-02-24","2022","2","16","38.99","Premium ($30-$60)","False","2","42","94","796256","True","1056677","92.89"
"553850","HELLDIVERS 2","2024-02-08","2024","2","17","31.99","Premium ($30-$60)","False","1","38","0","788511","True","1017635","76.24"
"1172470","Apex Legends","2020-11-04","2020","11","0","0.0","Free","True","0","12","88","1572","True","994979","67.14"
"431960","Wallpaper Engine","2018-11-16","2018","11","0","3.99","Budget (<$5)","False","1","17","0","878442","False","894458","98.04"
"413150","Stardew Valley","2016-02-26","2016","2","0","8.99","Low ($5-$15)","False","1","49","89","821472","True","886195","98.44"
"1091500","Cyberpunk 2077","2020-12-09","2020","12","17","20.99","Mid ($15-$30)","False","3","57","86","815149","False","844921","84.39"
"739630","Phasmophobia","2020-09-18","2020","9","0","13.99","Low ($5-$15)","False","0","54","0","653403","True","768779","95.82"
"1086940","Baldur's Gate 3","2023-08-03","2023","8","17","44.99","Premium ($30-$60)","False","2","54","96","713849","True","760662","96.85"
"1174180","Red Dead Redemption 2","2019-12-05","2019","12","17","14.99","Low ($5-$15)","False","0","51","93","754405","True","733542","92.25"
"346110","ARK Survival Evolved","2017-08-27","2017","8","0","9.89","Low ($5-$15)","False","18","32","70","567077","True","730170","83.84"
"1938090","Call of Duty","2022-10-27","2022","10","17","0.0","Free","True","43","157","0","402945","True","714114","58.76"
"945360","Among Us","2018-11-16","2018","11","0","2.99","Budget (<$5)","False","0","33","85","630470","True","700785","91.85"
"242760","The Forest","2018-04-30","2018","4","0","4.59","Budget (<$5)","False","0","45","83","555718","True","627791","95.54"
"1085660","Destiny 2","2019-10-01","2019","10","0","0.0","Free","True","16","23","83","132988","True","625616","79.58"
"304930","Unturned","2017-07-07","2017","7","0","0.0","Free","True","1","88","0","7544","True","555368","91.2"
"892970","Valheim","2021-02-02","2021","2","0","9.99","Low ($5-$15)","False","1","0","0","441511","True","499828","94.32"
"322330","Don't Starve Together","2016-04-21","2016","4","0","5.09","Low ($5-$15)","False","49","0","83","359153","True","499061","95.26"
"582010","Monster Hunter World","2018-08-08","2018","8","0","9.89","Low ($5-$15)","False","200","100","88","309488","True","493390","88.01"
"1966720","Lethal Company","2023-10-23","2023","10","0","7.49","Low ($5-$15)","False","0","0","0","402549","True","487160","97.18"
"1097150","Fall Guys","2020-08-03","2020","8","0","0.0","Free","True","0","34","80","414355","True","473743","81.3"
"221100","DayZ","2018-12-13","2018","12","17","22.49","Mid ($15-$30)","False","3","13","0","370447","True","430252","76.78"
"367520","Hollow Knight","2017-02-24","2017","2","0","7.49","Low ($5-$15)","False","2","63","87","455843","False","415946","97.04"
"374320","DARK SOULS III","2016-04-11","2016","4","17","59.99","Premium ($30-$60)","False","3","43","89","269868","True","413775","94.33"
"291550","Brawlhalla","2017-10-17","2017","10","0","0.0","Free","True","5","65","0","2892","True","386456","81.46"
"1623730","Palworld","2024-01-18","2024","1","0","22.49","Mid ($15-$30)","False","1","57","0","343464","True","380709","94.1"
"251570","7 Days to Die","2024-07-25","2024","7","0","24.74","Mid ($15-$30)","False","9","43","0","267047","True","370046","88.61"
