"app_id","platform_names"
"578080","PC"
"578080","PlayStation"
"578080","Xbox"
"252490","Apple Macintosh"
"252490","Linux"
"252490","PC"
"252490","PlayStation"
"252490","Xbox"
"2358720","PC"
"2358720","PlayStation"
"2358720","Xbox"
"1245620","PC"
"1245620","PlayStation"
"1245620","Xbox"
"553850","PC"
"553850","PlayStation"
"553850","Xbox"
"1172470","Apple Macintosh"
"1172470","Nintendo"
"1172470","PC"
"1172470","PlayStation"
"1172470","Xbox"
"431960","PC"
"431960","Android"
"413150","Apple Macintosh"
"413150","Linux"
"413150","Nintendo"
"413150","Android"
"413150","PC"
"413150","PlayStation"
"413150","iOS"
"413150","Xbox"
"1091500","PC"
"1091500","PlayStation"
"1091500","Xbox"
"1091500","Nintendo"
"739630","PC"
"1086940","PC"
"1086940","Apple Macintosh"
"1086940","PlayStation"
"1086940","Xbox"
"1174180","PC"
"1174180","PlayStation"
"1174180","Xbox"
"346110","Apple Macintosh"
"346110","Linux"
"346110","Nintendo"
"346110","PC"
"346110","PlayStation"
"346110","iOS"
"346110","Xbox"
"1938090","PC"
"1938090","Apple Macintosh"
"1938090","PlayStation"
"1938090","Xbox"
"945360","Nintendo"
"945360","Android"
"945360","PC"
"945360","PlayStation"
"945360","iOS"
"945360","Xbox"
"242760","PC"
"242760","PlayStation"
"1085660","PC"
"1085660","PlayStation"
"1085660","Web"
"1085660","Xbox"
"304930","Apple Macintosh"
"304930","Linux"
"304930","Nintendo"
"304930","PC"
"304930","PlayStation"
"304930","Xbox"
"892970","PC"
"892970","Linux"
"322330","Apple Macintosh"
"322330","Linux"
"322330","PC"
"322330","PlayStation"
"322330","Xbox"
"582010","PC"
"582010","PlayStation"
"582010","Xbox"
"1966720","PC"
"1097150","PC"
"1097150","PlayStation"
"1097150","Xbox"
"1097150","Nintendo"
"221100","PC"
"221100","PlayStation"
"221100","Xbox"
"367520","Apple Macintosh"
"367520","Linux"
"367520","Nintendo"
"367520","PC"
"367520","PlayStation"
"367520","Xbox"
"374320","PC"
"374320","PlayStation"
"374320","Xbox"
"291550","Apple Macintosh"
"291550","Nintendo"
"291550","Android"
"291550","PC"
"291550","PlayStation"
"291550","iOS"
"291550","Xbox"
"1623730","PC"
"1623730","PlayStation"
"1623730","Xbox"
"251570","Apple Macintosh"
"251570","Linux"
"251570","PC"
"251570","PlayStation"
"251570","Xbox"
"1172620","PC"
"960090","PC"
"960090","iOS"
"960090","Web"
"960090","Android"
"275850","PC"
"275850","PlayStation"
"275850","Xbox"
"275850","Nintendo"
"289070","Apple Macintosh"
"289070","Linux"
"289070","Nintendo"
"289070","PC"
"289070","PlayStation"
"289070","iOS"
"289070","Xbox"
"444090","Apple Macintosh"
"444090","Nintendo"
"444090","PC"
"444090","PlayStation"
"444090","Xbox"
"648800","PC"
"548430","PC"
"548430","PlayStation"
"394360","PC"
"394360","Apple Macintosh"
"394360","Linux"
"489830","PC"
"489830","PlayStation"
"489830","Xbox"
"1203220","PC"
"1203220","PlayStation"
"1203220","Xbox"
"814380","PC"
"814380","PlayStation"
"814380","Xbox"
"990080","PC"
"990080","PlayStation"
"990080","Xbox"
"990080","Nintendo"
"264710","Apple Macintosh"
"264710","Nintendo"
"264710","PC"
"264710","PlayStation"
"264710","Xbox"
"632360","PC"
"632360","PlayStation"
"632360","Xbox"
"632360","Nintendo"
