"app_id","publishers"
"578080","KRAFTON, Inc."
"252490","Facepunch Studios"
"2358720","Game Science"
"1245620","FromSoftware, Inc."
"1245620","Bandai Namco Entertainment"
"553850","PlayStation Publishing LLC"
"1172470","Electronic Arts"
"431960","Wallpaper Engine Team"
"413150","ConcernedApe"
"1091500","CD PROJEKT RED"
"739630","Kinetic Games"
"1086940","Larian Studios"
"1174180","Rockstar Games"
"346110","Snail Games USA"
"346110","Studio Wildcard"
"1938090","Activision"
"945360","Innersloth"
"242760","Endnight Games Ltd"
"1085660","Bungie"
"304930","Smartly Dressed Games"
"892970","Coffee Stain Publishing"
"322330","Klei Entertainment"
"582010","CAPCOM Co., Ltd."
"1966720","Zeekerss"
"221100","Bohemia Interactive"
"367520","Team Cherry"
"374320","FromSoftware, Inc."
"374320","Bandai Namco Entertainment"
"291550","Ubisoft"
"1623730","Pocketpair"
"251570","The Fun Pimps Entertainment LLC"
"1172620","Xbox Game Studios"
"960090","Ninja Kiwi"
"275850","Hello Games"
"289070","Aspyr (Mac)"
"289070","2K"
"289070","Aspyr (Linux)"
"444090","Hi-Rez Studios"
"648800","Axolot Games"
"548430","Coffee Stain Publishing"
"394360","Paradox Interactive"
"489830","Bethesda Softworks"
"1203220","NetEase Games Global"
"814380","Activision (Excluding Japan and Asia)"
"814380","FromSoftware, Inc. (Japan)"
"814380","方块游戏 (Asia)"
"990080","Warner Bros. Games"
"264710","Unknown Worlds Entertainment"
"632360","Gearbox Publishing"
"2767030","NetEase Games"
"1063730","Amazon Games"
"1118200","Studio Minus"
"1145360","Supergiant Games"
"261550","TaleWorlds Entertainment"
"1237970","Electronic Arts"
"1326470","Newnight"
"1794680","poncle"
"1238810","Electronic Arts"
"594650","Crytek"
"438100","VRChat Inc."
"1144200","VOID Interactive"
"526870","Coffee Stain Publishing"
"1468810","Lightning Games"
"1468810","鬼谷工作室"
"1551360","Xbox Game Studios"
"2246340","CAPCOM Co., Ltd."
"1426210","Electronic Arts"
"427520","Wube Software LTD."
"700330","Northwood Studios"
