"app_id","rawg_rating","rawg_ratings_count","rawg_added","rawg_id","rawg_score","rawg_status_yet","rawg_status_owned","rawg_status_beaten","rawg_status_toplay","rawg_status_dropped","rawg_status_playing"
"578080","3.27","1991","10683","10142.0","42.989235","142","8294","453","74","1445","275"
"252490","3.37","856","5940","9671.0","56.771614","162","4762","180","89","685","62"
"2358720","4.32","157","1044","481913.0","94.50878","135","191","134","526","34","24"
"1245620","4.39","1434","8053","326243.0","71.03292","416","4754","1107","1036","410","330"
"553850","4.26","117","901","976564.0","70.85753","31","616","49","85","68","52"
"1172470","3.63","2406","12000","290856.0","80.035","184","9008","460","83","1743","522"
"431960","4.04","257","6541","817974.0","75.930984","19","6234","150","2","84","52"
"413150","4.39","2442","10963","654.0","75.44396","477","7086","1082","373","1204","741"
"1091500","4.23","2964","13873","41494.0","73.9041","873","7008","2500","2447","510","535"
"739630","3.86","429","3600","427930.0","68.42865","72","2828","178","64","336","122"
"1086940","4.44","988","4608","324997.0","79.92998","382","2165","597","888","218","358"
"1174180","4.59","5435","16749","28.0","81.84268","1016","8773","3564","1670","764","962"
"346110","3.07","666","8677","9810.0","98.5016","399","7503","147","66","516","46"
"1938090","4.16","932","3608","19369.0","84.65239","62","2026","1315","54","134","17"
"945360","3.83","1329","7922","356714.0","90.90459","127","5865","528","113","1044","245"
"242760","3.74","927","6355","9600.0","58.390118","186","4799","634","120","551","65"
"1085660","3.52","2663","14567","32.0","76.77998","480","11095","807","176","1597","412"
"304930","2.74","1112","8540","9743.0","62.74085","194","7215","230","16","873","12"
"892970","4.0","632","4946","248521.0","81.98146","146","3756","232","193","456","163"
"322330","3.77","1393","9948","9882.0","76.86275","360","7717","366","138","1187","180"
"582010","4.01","1624","8821","46889.0","78.779465","452","5988","585","650","770","376"
"1966720","4.24","147","1049","968329.0","70.23363","28","753","86","31","109","42"
"1097150","3.74","1350","8908","326292.0","77.01178","107","6867","440","114","1095","285"
"221100","3.08","464","3162","9811.0","55.918587","50","2576","97","43","366","30"
"367520","4.4","2708","11800","9767.0","83.14808","880","7012","1746","677","938","547"
"374320","4.4","2762","11190","2551.0","57.017662","656","6829","2151","593","683","278"
"291550","3.23","1111","8279","9830.0","68.77106","205","6866","185","40","872","111"
"1623730","3.55","137","835","718135.0","68.0547","40","529","59","69","107","31"
"251570","3.36","493","4305","2255.0","76.4907","159","3559","144","58","340","45"
"1172620","0.0","0","0","572842.0","35.18512","0","0","0","0","0","0"
"960090","3.93","206","2096","58914.0","100.546005","85","1753","61","10","117","70"
"275850","3.71","1573","8207","2093.0","89.80786","321","5842","322","360","1055","307"
"289070","4.16","1417","7460","10297.0","106.46876","329","5323","682","171","612","343"
"444090","3.08","1415","8692","10989.0","62.20773","153","7119","206","27","1099","88"
"648800","3.89","443","2939","46301.0","59.57412","72","2204","268","82","241","72"
"548430","4.11","683","5217","9551.0","77.55616","123","4231","166","104","399","194"
"394360","4.06","375","2736","10715.0","60.73398","130","2169","132","40","161","104"
"489830","4.45","1967","10068","12447.0","114.2452","304","7445","1457","131","472","259"
"1203220","3.0","67","1088","398412.0","109.63667","54","935","14","21","53","11"
"814380","4.38","2103","8327","50734.0","83.65225","564","4014","1449","1283","701","316"
"990080","3.93","897","3701","906547.0","91.57366","326","1329","783","744","306","213"
"264710","4.24","1467","7101","10419.0","79.53033","503","4427","856","438","700","177"
"632360","4.14","693","4243","263590.0","73.04518","139","3001","329","256","327","191"
"2767030","3.7","112","970","993875.0","73.98683","32","741","26","11","99","61"
"1063730","2.56","9","369","14226.0","31.788294","7","355","1","2","4","0"
"1118200","4.25","145","831","349250.0","74.97763","18","660","23","42","46","42"
"1145360","4.42","2061","9076","274755.0","62.958923","481","5256","1426","728","674","511"
"261550","3.9","357","3071","16813.0","35.64366","161","2525","166","31","181","7"
"1237970","4.31","2065","8685","923.0","71.36601","317","5724","1868","293","376","107"
"1326470","3.69","120","742","398405.0","71.9227","42","390","99","136","54","21"
"1794680","4.19","786","5172","685577.0","69.522","84","3994","489","80","333","192"
"1238810","3.51","1006","4955","58494.0","59.81203","218","3322","595","214","475","131"
"594650","3.86","315","2478","47428.0","49.754234","62","1968","70","108","183","87"
"438100","3.14","531","5122","9575.0","63.39342","135","4385","81","18","443","60"
"1144200","3.98","166","1276","300682.0","92.48835","51","883","68","119","114","41"
"526870","4.3","336","2908","58806.0","68.15167","103","2226","107","149","210","113"
"1468810","2.79","14","158","548112.0","141.22789","3","134","8","3","9","1"
"1551360","4.29","758","4701","622492.0","104.5045","161","3221","332","333","393","261"
"2246340","4.16","34","250","973391.0","74.60611","20","76","30","100","9","15"
"1426210","4.47","1706","5552","455597.0","89.56654","260","2694","1533","596","236","233"
"427520","4.36","797","3607","10926.0","58.84681","125","2393","315","220","385","169"
"700330","3.22","275","2668","50678.0","99.11534","131","2266","44","14","192","21"
"477160","3.83","1026","5901","13247.0","93.22317","159","4638","538","63","425","78"
"698780","4.06","1292","5870","46956.0","148.87491","307","3771","1457","85","206","44"
"393380","3.9","113","1639","9894.0","59.05194","79","1401","22","35","73","29"
"294100","4.35","616","2980","12130.0","68.475174","105","2119","207","140","269","140"
"379720","4.38","3611","13987","2454.0","62.613464","604","8770","3002","525","780","306"
"782330","4.37","1418","7953","58777.0","69.57586","523","4470","1289","1080","381","210"
"3164500","3.65","37","112","1000049.0","58.41516","7","41","16","18","22","8"
"433850","2.12","66","710","58501.0","78.02904","9","617","5","1","76","2"
"1599340","3.18","284","3514","372576.0","70.89032","76","2993","46","41","315","43"
"534380","3.65","433","3225","58758.0","70.394714","288","1627","341","745","152","72"
"1238840","3.84","1966","7754","998.0","74.14992","227","4976","1401","177","800","173"
"435150","4.51","592","1924","59199.0","115.9315","198","892","318","234","158","124"
"268910","4.37","2029","8080","28154.0","67.97355","449","4389","1133","659","1046","404"
"3241660","4.33","34","141","998422.0","68.77106","5","80","16","1","21","18"
"646570","4.37","1074","5250","28121.0","72.25989","211","3664","574","187","367","247"
"2050650","4.59","587","2174","795632.0","95.20101","177","681","727","480","47","62"
"518790","3.44","226","2195","9538.0","96.891235","117","1824","28","31","177","18"
"1240440","3.64","726","7872","58751.0","88.92422","306","6126","357","598","377","108"
"270880","3.98","250","2547","10758.0","75.51801","110","2178","44","28","108","79"
"12210","4.58","96","233","378578.0","82.10432","26","40","96","25","30","16"
"552520","3.72","2163","8456","23585.0","80.39694","395","4748","1905","624","603","181"
"883710","4.5","2250","5470","58813.0","91.09419","411","1570","2153","903","274","159"
"812140","3.98","2096","8211","58616.0","109.96991","553","4476","1504","716","587","375"
"1222670","3.67","1153","6542","42187.0","82.71867","186","4829","507","56","697","267"
"1229490","4.37","137","1066","428741.0","68.51085","59","740","72","91","63","41"
"1222140","4.34","3299","10393","29177.0","100.258064","600","5190","3297","900","219","187"
"2694490","3.36","54","501","391403.0","74.6965","37","212","25","169","24","34"
"588650","4.24","1730","7264","11726.0","85.69849","384","4292","798","547","849","394"
"1716740","3.25","336","1932","58779.0","65.7227","231","530","140","761","195","75"
"211820","3.82","851","5475","12569.0","67.58614","191","4273","339","85","526","61"
"2183900","3.87","22","213","988673.0","102.34554","10","164","24","7","6","2"
"813780","4.29","303","2283","326253.0","90.53875","103","1731","102","94","174","79"
"379430","4.05","1449","7444","28172.0","90.54796","722","4700","648","523","621","230"
"1172380","4.14","2267","9630","257201.0","104.24978","463","5350","2221","861","461","274"
"1593500","4.36","716","1945","29179.0","79.32365","76","634","946","165","101","23"
"1332010","4.15","1241","5680","452638.0","61.09289","349","2655","1315","970","270","121"
"306130","3.66","133","468","41458.0","79.68477","52","222","33","17","117","27"
"2379780","4.32","236","919","977316.0","68.475174","40","465","150","75","109","80"
"1782210","2.99","78","984","705002.0","65.46451","18","849","33","2","78","4"
"1811260","3.67","15","139","969052.0","93.17376","2","119","5","0","12","1"
"304390","3.3","1678","9670","362.0","65.39333","616","7310","365","122","1156","101"
"262060","4.17","1353","7005","1244.0","67.983","400","4965","343","182","895","220"
"397540","3.87","966","6229","58617.0","83.15759","447","3981","689","569","345","198"
"444200","2.76","261","2284","1575.0","97.35298","27","2013","35","8","167","34"
"552990","3.16","174","2316","41052.0","70.59413","71","2074","32","6","109","24"
"601150","4.25","1536","6687","58755.0","107.14783","458","3531","1396","864","289","149"
"2881650","3.46","65","920","979524.0","69.94621","46","760","22","18","66","8"
"671860","3.84","25","62","963088.0","79.28042","0","21","9","5","25","2"
"524220","4.37","2157","9043","10141.0","62.62716","678","4850","1761","943","547","264"
"433340","3.87","577","3429","9736.0","70.6955","141","2532","302","59","320","75"
"686810","3.54","90","1544","270653.0","80.17613","75","1322","17","41","68","21"
"1057090","4.42","1296","6435","28199.0","81.90418","559","3469","1087","959","238","123"
"391220","4.04","2789","12366","7689.0","97.87293","686","7843","2834","408","436","159"
"508440","3.74","234","1596","11025.0","100.71112","106","1170","127","37","125","31"
"552500","3.61","778","8528","45969.0","93.47256","337","7376","275","89","376","75"
"1222680","3.26","557","3887","364806.0","104.589676","155","2882","324","173","296","57"
"244850","3.52","268","2918","10028.0","68.01396","88","2493","56","38","227","16"
"1092790","4.38","586","3171","479694.0","68.98021","143","1951","497","313","185","82"
"1868140","4.26","185","1060","871264.0","70.12302","61","518","134","195","97","55"
"570940","4.47","1455","5656","51610.0","85.209206","313","3297","1130","434","301","181"
"361420","3.78","509","2998","11460.0","62.128","136","2132","167","183","323","57"
"457140","4.15","375","2768","9880.0","83.396576","107","2192","69","99","218","83"
"1677740","2.8","38","839","557828.0","73.08977","10","781","16","2","24","6"
"362890","4.35","1071","6080","15426.0","68.29841","417","4079","906","342","241","95"
"581320","3.94","197","1374","59306.0","96.94603","50","1067","37","57","117","46"
"1158310","4.32","458","2842","384567.0","60.51088","126","2014","150","176","231","145"
"232090","3.53","814","5446","829.0","75.00248","271","4291","251","57","517","59"
"1151640","4.27","335","1379","419297.0","85.50247","101","746","345","88","61","38"
"1289310","3.97","553","3355","445442.0","78.30174","121","2452","632","62","81","7"
"594570","4.34","249","1546","9981.0","90.20233","95","1140","110","62","79","60"
"323190","4.19","1057","6123","45821.0","67.37039","412","4189","704","324","381","113"
"674940","3.82","390","3032","46560.0","79.66771","95","2502","149","26","220","40"
"1151340","2.85","659","4029","58585.0","98.107086","168","3062","97","186","411","105"
"412020","4.17","1698","8358","28201.0","73.71211","573","4998","1513","815","331","128"
"1506830","3.39","234","1439","546464.0","93.770874","20","1108","105","22","139","45"
"504230","4.37","1692","6142","22121.0","77.9287","556","3021","1293","488","491","293"
"1142710","4.01","66","746","552923.0","88.90301","65","530","19","70","38","24"
"1604030","3.72","171","2088","602224.0","50.809464","92","1599","72","142","152","31"
"774171","3.94","139","1506","58913.0","71.10565","48","1262","37","13","92","54"
"1196590","4.39","1022","5053","452649.0","94.72551","326","2751","1165","646","104","61"
"1832640","3.09","34","436","725781.0","81.40153","17","386","10","7","13","3"
"582160","3.97","2093","7966","28153.0","109.558914","466","4344","1850","479","583","244"
"1643320","3.77","304","2171","58386.0","106.03859","339","537","116","1068","68","43"
"387990","3.84","123","856","10847.0","74.779495","15","686","22","34","82","17"
"1361210","3.71","75","1028","471029.0","104.761185","51","757","18","110","64","28"
"1446780","4.22","178","1530","494393.0","95.78302","97","1015","114","149","81","74"
"1817070","4.46","439","1736","663742.0","117.61113","83","874","518","157","58","46"
"629760","3.9","266","2201","288796.0","68.36151","115","1738","53","63","188","44"
"513710","3.26","98","812","15268.0","65.921036","29","686","4","24","61","8"
"677620","3.4","232","3021","637477.0","82.01006","49","2707","48","14","183","20"
"632470","4.66","653","2157","545015.0","114.737045","272","679","579","365","143","119"
"2527500","4.2","129","323","965471.0","65.20459","23","86","148","47","15","4"
"1903340","4.49","357","980","983210.0","121.134186","93","202","331","227","45","82"
"424840","4.03","1627","11636","41.0","67.34323","798","8473","1514","398","329","124"
"2195250","3.49","69","237","963218.0","104.10611","6","120","34","11","42","24"
"1167630","4.16","218","1413","378579.0","65.806564","67","935","78","167","118","48"
"440900","2.84","457","3223","9831.0","97.72209","139","2693","87","33","253","18"
"356190","3.86","1375","8738","25.0","96.33822","561","6277","940","363","471","126"
"2054970","3.8","86","786","804753.0","95.37884","98","273","62","293","44","16"
"976310","3.97","1138","5726","274480.0","89.782326","201","3942","671","329","408","175"
"779340","3.98","169","980","51584.0","97.834435","81","594","57","131","80","37"
"1313140","4.11","439","2413","650605.0","71.77612","126","1353","358","314","173","89"
"1687950","4.75","524","3160","339958.0","91.304924","237","1706","479","485","92","161"
"1259420","3.97","1386","6599","29338.0","64.52095","416","3910","1079","639","370","185"
"1943950","3.49","38","283","812168.0","69.10079","10","218","41","5","7","2"
"1771300","4.41","129","643","980502.0","90.872086","93","146","114","235","22","33"
"268500","4.1","1308","7667","1256.0","67.86409","494","5626","721","216","509","101"
"219990","3.96","574","3943","9465.0","72.08667","183","3078","271","91","249","71"
"1217060","3.94","124","1360","449160.0","75.307465","33","1134","67","32","65","29"
"1721470","3.58","73","982","672365.0","78.38838","35","843","62","19","16","7"
"233860","4.16","187","1486","11587.0","64.383865","83","1151","51","69","94","38"
"418370","4.33","1965","8718","480.0","110.40088","451","5503","1894","401","332","137"
"1942280","4.04","132","1025","857690.0","61.215393","33","788","78","17","74","35"
