"app_id","positive","negative","estimated_owners","owners_min","owners_max","average_playtime_forever","average_playtime_2weeks","median_playtime_forever","median_playtime_2weeks","peak_ccu"
"578080","1520457","1037487","100000000 - 200000000","100000000","200000000","23787","730","6082","302","314682"
"252490","1071135","156649","20000000 - 50000000","20000000","50000000","24264","1246","3044","373","143870"
"2358720","1111720","38378","50000000 - 100000000","50000000","100000000","3272","399","2812","135","15004"
"1245620","981540","75137","20000000 - 50000000","20000000","50000000","8155","500","5832","224","29529"
"553850","775883","241752","20000000 - 50000000","20000000","50000000","5020","399","2264","172","53399"
"1172470","668053","326926","100000000 - 200000000","100000000","200000000","10073","615","916","269","124262"
"431960","876898","17560","20000000 - 50000000","20000000","50000000","4378","135","1045","9","91184"
"413150","872384","13811","20000000 - 50000000","20000000","50000000","4830","504","1728","127","50662"
"1091500","713071","131850","20000000 - 50000000","20000000","50000000","4961","444","3213","111","22265"
"739630","736611","32168","10000000 - 20000000","10000000","20000000","2252","222","946","105","9978"
"1086940","736688","23974","20000000 - 50000000","20000000","50000000","7562","593","4698","210","54771"
"1174180","676667","56875","10000000 - 20000000","10000000","20000000","4354","390","1828","143","29885"
"346110","612177","117993","20000000 - 50000000","20000000","50000000","11685","940","921","627","22170"
"1938090","419594","294520","50000000 - 100000000","50000000","100000000","5485","841","717","269","67419"
"945360","643681","57104","20000000 - 50000000","20000000","50000000","1464","113","645","67","3832"
"242760","599805","27986","20000000 - 50000000","20000000","50000000","1684","153","809","122","2892"
"1085660","497891","127725","20000000 - 50000000","20000000","50000000","12236","1469","531","654","24619"
"304930","506516","48852","50000000 - 100000000","50000000","100000000","8683","2155","320","855","10408"
"892970","471451","28377","10000000 - 20000000","10000000","20000000","4294","708","1693","320","14439"
"322330","475393","23668","10000000 - 20000000","10000000","20000000","2850","428","511","55","30542"
"582010","434239","59151","10000000 - 20000000","10000000","20000000","9638","770","3104","103","11923"
"1966720","473422","13738","10000000 - 20000000","10000000","20000000","1500","184","730","124","6199"
"1097150","385154","88589","20000000 - 50000000","20000000","50000000","1512","81","553","55","664"
"221100","330349","99903","10000000 - 20000000","10000000","20000000","15771","1788","2018","1379","37066"
"367520","403641","12305","5000000 - 10000000","5000000","10000000","2087","244","860","162","4912"
"374320","390326","23449","5000000 - 10000000","5000000","10000000","5102","328","2365","155","4381"
"291550","314809","71647","20000000 - 50000000","20000000","50000000","2657","185","212","65","14169"
"1623730","358266","22443","50000000 - 100000000","50000000","100000000","3793","563","2206","156","18028"
"251570","327889","42157","10000000 - 20000000","10000000","20000000","7004","765","1482","287","17045"
"1172620","317074","38164","5000000 - 10000000","5000000","10000000","3532","376","1215","265","5437"
"960090","344269","9691","2000000 - 5000000","2000000","5000000","3722","244","1355","43","7489"
"275850","293332","59526","5000000 - 10000000","5000000","10000000","3401","810","1239","144","12291"
"289070","304053","45867","10000000 - 20000000","10000000","20000000","6205","489","1507","242","25420"
"444090","294373","52031","10000000 - 20000000","10000000","20000000","4639","3871","584","5761","1028"
"648800","323198","23161","10000000 - 20000000","10000000","20000000","1807","464","963","257","4701"
"548430","333587","9413","5000000 - 10000000","5000000","10000000","3427","367","874","153","5216"
"394360","305168","36982","5000000 - 10000000","5000000","10000000","18878","717","2675","400","32112"
"489830","310162","26896","5000000 - 10000000","5000000","10000000","5243","812","1290","318","25085"
"1203220","225960","98967","10000000 - 20000000","10000000","20000000","10111","750","496","290","66954"
"814380","307041","15193","10000000 - 20000000","10000000","20000000","2702","187","1544","102","6767"
"990080","289966","31429","20000000 - 50000000","20000000","50000000","2262","379","1612","223","5716"
"264710","304449","9258","5000000 - 10000000","5000000","10000000","1936","357","909","405","2719"
"632360","293127","20450","5000000 - 10000000","5000000","10000000","4073","545","1176","167","7902"
"2767030","228817","58752","0 - 20000","0","20000","2853","554","498","233","106611"
"1063730","196798","90080","50000000 - 100000000","50000000","100000000","10500","10","3781","11","5583"
"1118200","277746","4017","5000000 - 10000000","5000000","10000000","2785","133","563","64","4505"
"1145360","274829","4912","5000000 - 10000000","5000000","10000000","2048","318","1077","116","2253"
"261550","232360","32031","10000000 - 20000000","10000000","20000000","9806","843","4647","481","14477"
