"release_year","total_games","free_games","paid_games","pct_free_games","avg_price_paid"
"2016","2059","333","1726","16.17","4.54"
"2017","2063","383","1680","18.57","5.21"
"2018","2059","413","1646","20.06","5.60"
"2019","1868","406","1462","21.73","6.41"
"2020","2118","492","1626","23.23","6.21"
"2021","2000","266","1734","13.30","7.00"
"2022","1868","122","1746","6.53","7.80"
"2023","2065","125","1940","6.05","8.27"
"2024","2450","140","2310","5.71","9.23"
"2025","1178","31","1147","2.63","10.93"
