"genres","total_games"
"Indie","13748"
"Adventure","8859"
"Action","8238"
"Casual","6671"
"Simulation","5204"
"RPG","4775"
"Strategy","4308"
"Free To Play","1916"
"Early Access","1579"
"Sports","896"
"Massively Multiplayer","704"
"Racing","682"
"Utilities","144"
"Design & Illustration","93"
"Violent","80"
"Animation & Modeling","77"
"Video Production","53"
"Gore","53"
"Game Development","46"
"Audio Production","36"
"Education","35"
"Sexual Content","30"
"Nudity","28"
"Web Publishing","28"
"Software Training","25"
"Photo Editing","20"
"Accounting","3"
"Movie","1"
