"genre","total_games","total_reviews","positive_reviews","negative_reviews","avg_playtime_hours","max_peak_ccu","reviews_per_game","pct_positive_reviews"
"Indie","13748","42668294","38026935","4641359","510.06","143870","3103.60","89.12"
"Adventure","8859","45738266","38728106","7010160","638.83","314682","5162.92","84.67"
"Action","8238","59720009","50095401","9624608","506.37","314682","7249.33","83.88"
"Casual","6671","15316701","13615859","1700842","631.85","91184","2296.01","88.90"
"Simulation","5204","21044917","18221292","2823625","924.01","50662","4043.99","86.58"
"RPG","4775","27500956","23540784","3960172","980.79","163599","5759.36","85.60"
"Strategy","4308","16684551","14393481","2291070","900.56","54771","3872.92","86.27"
"Free To Play","1916","13473170","10197250","3275920","914.48","314682","7031.93","75.69"
"Early Access","1579","6666296","5692226","974070","670.13","34699","4221.85","85.39"
"Sports","896","3615544","2863219","752325","1099.28","47931","4035.21","79.19"
"Massively Multiplayer","704","11958125","8881084","3077041","1669.47","314682","16985.97","74.27"
"Racing","682","2343865","1974573","369292","526.31","39502","3436.75","84.24"
"Utilities","144","1044943","1005230","39713","5349.58","91184","7256.55","96.20"
"Design & Illustration","93","984466","958597","25869","3401.74","91184","10585.66","97.37"
"Violent","80","30145","22283","7862","148.09","44","376.81","73.92"
"Animation & Modeling","77","984295","958628","25667","3542.34","91184","12783.05","97.39"
"Gore","53","18254","12820","5434","136.02","4","344.42","70.23"
"Video Production","53","35737","27857","7880","7045.92","10139","674.28","77.95"
"Game Development","46","84886","76769","8117","2474.70","41428","1845.35","90.44"
"Audio Production","36","13881","9783","4098","10633.67","1214","385.58","70.48"
"Education","35","47633","42616","5017","4377.69","41428","1360.94","89.47"
"Sexual Content","30","7679","6256","1423","169.80","4","255.97","81.47"
"Nudity","28","7875","6088","1787","158.82","13","281.25","77.31"
"Web Publishing","28","25371","20601","4770","4144.04","3328","906.11","81.20"
"Software Training","25","22252","18123","4129","6375.40","8493","890.08","81.44"
"Photo Editing","20","931162","910308","20854","4745.80","91184","46558.10","97.76"
"Accounting","3","1112","712","400","318.33","8","370.67","64.03"
"Movie","1","3238","1727","1511","418.00","5","3238.00","53.34"
