"release_year","genre","category","success_tier","total_games","avg_owners","avg_review_score","avg_price","pct_free","pct_multiplayer","avg_dlc_count","avg_playtime_hours"
"2025","Indie","Single-player","Success","37","770270","86.25","14.20","5.41","32.43","4.6","1245.16"
"2025","Indie","Family Sharing","Success","34","514706","86.69","14.93","0.00","29.41","1.3","1182.03"
"2025","Indie","Steam Achievements","Success","33","787879","86.31","14.26","6.06","33.33","5.0","1287.09"
"2025","Indie","Steam Cloud","Success","32","500000","87.04","14.43","6.25","28.13","4.9","1209.28"
"2025","Action","Single-player","Success","31","967742","85.40","15.45","6.45","51.61","5.5","1175.87"
"2025","Simulation","Single-player","Success","30","516667","87.22","16.73","3.33","43.33","5.4","1253.53"
"2025","Simulation","Family Sharing","Success","29","517241","87.43","17.31","0.00","41.38","1.7","1292.93"
"2025","Action","Family Sharing","Success","29","672414","85.33","16.30","0.00","51.72","1.5","1168.83"
"2025","Action","Steam Achievements","Success","27","1018519","85.00","15.59","7.41","51.85","6.1","1343.30"
"2025","Strategy","Single-player","Success","26","519231","87.05","13.99","3.85","23.08","1.0","1065.04"
"2025","Simulation","Steam Achievements","Success","25","500000","87.45","16.76","4.00","40.00","6.2","1241.60"
"2025","Strategy","Family Sharing","Success","25","520000","87.01","14.54","0.00","24.00","1.0","1107.64"
"2025","Action","Steam Cloud","Success","25","680000","85.45","15.22","8.00","44.00","6.0","1152.00"
"2025","RPG","Family Sharing","Success","24","708333","87.37","19.09","0.00","25.00","1.6","1178.75"
"2025","RPG","Single-player","Success","24","708333","87.37","19.09","0.00","25.00","1.6","1178.75"
"2025","Strategy","Steam Cloud","Success","24","500000","88.13","14.15","4.17","20.83","1.0","1139.58"
"2025","Simulation","Steam Cloud","Success","23","500000","87.58","16.28","4.35","39.13","6.5","1320.48"
"2025","Indie","Full controller support","Success","22","500000","87.04","15.46","4.55","31.82","6.7","1130.36"
"2025","Strategy","Steam Achievements","Success","22","500000","87.73","14.71","4.55","18.18","1.1","1126.36"
"2025","Adventure","Family Sharing","Success","21","523810","84.59","16.74","0.00","33.33","1.6","1482.52"
"2025","Adventure","Single-player","Success","21","976190","84.77","17.03","0.00","33.33","2.2","1598.95"
"2025","Adventure","Steam Achievements","Success","20","975000","84.08","17.30","0.00","35.00","2.3","1717.50"
"2025","RPG","Steam Achievements","Success","20","725000","88.77","20.15","0.00","25.00","1.6","1345.30"
"2025","RPG","Steam Cloud","Success","20","725000","88.00","19.21","0.00","20.00","1.6","1341.70"
"2025","Adventure","Steam Cloud","Success","19","500000","85.96","17.14","0.00","26.32","1.7","1446.84"
"2025","Action","Full controller support","Success","18","750000","85.72","17.40","5.56","44.44","8.3","1093.06"
"2025","Action","Multi-player","Success","17","1352941","83.07","14.49","5.88","100.00","8.4","1480.76"
"2025","Simulation","Full controller support","Success","15","500000","87.97","18.02","6.67","40.00","9.7","1269.53"
"2025","Action","Co-op","Success","15","1466667","82.70","15.67","0.00","100.00","2.1","1659.53"
"2025","Indie","Steam Trading Cards","Success","15","1133333","85.44","15.78","6.67","26.67","9.7","1427.07"
"2025","Action","Online Co-op","Success","14","1535714","82.47","16.33","0.00","100.00","2.2","1699.14"
"2025","Adventure","Full controller support","Success","14","500000","87.35","19.17","0.00","21.43","2.1","1629.57"
"2025","Simulation","Steam Trading Cards","Success","14","500000","86.56","19.91","7.14","35.71","10.1","1130.79"
"2025","Strategy","Steam Trading Cards","Success","14","500000","88.09","15.98","0.00","21.43","1.3","1074.07"
"2025","Simulation","Multi-player","Success","13","538462","84.71","17.37","7.69","100.00","11.0","1035.23"
"2025","Action","Steam Trading Cards","Success","13","1230769","86.67","16.61","7.69","53.85","11.3","1346.85"
"2025","Adventure","Steam Trading Cards","Success","12","1291667","85.57","19.17","0.00","41.67","3.3","1878.58"
"2025","Indie","Multi-player","Success","12","1333333","82.58","12.65","8.33","100.00","11.5","1311.17"
"2025","RPG","Full controller support","Success","12","875000","89.98","26.36","0.00","25.00","2.7","1513.25"
"2025","Casual","Single-player","Success","10","550000","88.19","9.76","10.00","40.00","12.6","1510.80"
"2025","Indie","Co-op","Success","10","1500000","81.29","13.19","0.00","100.00","2.5","1530.90"
"2025","Strategy","Custom Volume Controls","Success","10","500000","90.22","14.09","10.00","10.00","1.4","869.90"
"2025","Strategy","Full controller support","Success","10","500000","86.97","16.85","0.00","10.00","1.8","1297.30"
"2025","Strategy","Save Anytime","Success","10","500000","90.22","14.09","10.00","10.00","1.4","869.90"
"2025","RPG","Steam Trading Cards","Success","9","500000","90.07","18.35","0.00","33.33","2.6","1109.11"
"2025","Simulation","Co-op","Success","9","555556","83.70","18.52","0.00","100.00","2.4","1054.22"
"2025","Simulation","Online Co-op","Success","9","555556","83.70","18.52","0.00","100.00","2.4","1054.22"
"2025","Casual","Family Sharing","Success","9","555556","88.96","10.85","0.00","33.33","1.6","1666.33"
"2025","Casual","Steam Cloud","Success","9","500000","89.96","9.29","11.11","33.33","14.0","1643.44"
"2025","Indie","Online Co-op","Success","9","1611111","80.77","13.93","0.00","100.00","2.8","1578.22"
"2025","Adventure","Co-op","Success","8","1750000","78.95","14.53","0.00","100.00","3.0","1818.13"
"2025","Adventure","Multi-player","Success","8","1750000","78.95","14.53","0.00","100.00","3.0","1818.13"
"2025","Casual","Steam Achievements","Success","8","500000","89.03","9.26","12.50","37.50","15.8","1569.25"
"2025","Simulation","Custom Volume Controls","Success","8","500000","86.97","19.05","0.00","25.00","1.9","844.00"
"2025","Simulation","Stereo Sound","Success","8","500000","87.86","18.64","0.00","25.00","2.1","971.63"
"2025","Strategy","Camera Comfort","Success","8","500000","90.39","15.74","0.00","12.50","1.3","1009.38"
"2025","Strategy","Playable without Timed Input","Success","8","500000","89.86","14.12","12.50","12.50","1.8","919.25"
"2025","Strategy","Stereo Sound","Success","8","500000","89.83","16.27","0.00","12.50","1.8","953.75"
"2025","Simulation","Save Anytime","Success","7","500000","87.16","18.56","0.00","28.57","2.0","897.14"
"2025","Strategy","Adjustable Difficulty","Success","7","500000","91.23","16.52","0.00","14.29","1.7","1079.57"
"2025","Action","Custom Volume Controls","Success","7","2500000","81.06","15.56","14.29","57.14","3.0","2372.00"
"2025","Adventure","Online Co-op","Success","7","1928571","77.95","15.68","0.00","100.00","3.4","1920.00"
"2025","Indie","Custom Volume Controls","Success","7","1857143","87.48","14.99","14.29","14.29","3.0","1524.57"
"2025","Action","Online PvP","Success","6","2166667","79.49","11.44","16.67","100.00","20.8","1945.67"
"2025","Action","Partial Controller Support","Success","6","500000","83.04","10.91","0.00","66.67","0.8","1332.00"
"2025","Action","PvP","Success","6","2166667","79.49","11.44","16.67","100.00","20.8","1945.67"
