"achievement_range","dlc_range","total_games","avg_playtime_hours","avg_review_score","avg_owners","avg_recent_playtime"
"0 (None)","0 (None)","3869","677.95","76.84","206312","42.56"
"0 (None)","1-2","666","1197.28","80.96","277237","77.41"
"0 (None)","10+","52","3056.90","77.90","1623077","165.77"
"0 (None)","3-5","100","1626.97","78.30","621200","398.67"
"0 (None)","6-10","38","1676.50","78.03","2469474","131.05"
"1-10","0 (None)","1582","208.27","78.95","106536","8.85"
"1-10","1-2","520","846.88","83.50","175923","12.95"
"1-10","3-5","46","264.37","81.54","167391","21.39"
"1-10","6-10","11","6048.27","76.61","136364","5.91"
"100+","0 (None)","331","1393.23","75.71","312689","70.45"
"100+","1-2","187","943.94","84.05","1349465","101.63"
"100+","10+","53","2851.81","82.85","3909623","264.08"
"100+","3-5","65","1593.17","81.89","1023385","154.88"
"100+","6-10","44","2388.84","83.84","5365909","507.00"
"11-20","0 (None)","2206","380.42","80.99","233495","30.49"
"11-20","1-2","1090","845.08","83.62","263771","15.92"
"11-20","10+","18","943.33","76.61","1581667","61.78"
"11-20","3-5","121","2196.29","82.48","466033","72.64"
"11-20","6-10","30","575.40","78.85","951000","110.33"
"21-50","0 (None)","3260","497.02","79.91","325834","33.75"
"21-50","1-2","2386","531.03","83.03","397150","54.47"
"21-50","10+","179","1887.09","79.39","2456145","191.70"
"21-50","3-5","477","819.63","79.68","768700","82.31"
"21-50","6-10","190","1192.46","78.18","1131684","153.84"
"51-100","0 (None)","1008","1226.25","80.74","356478","88.03"
"51-100","1-2","707","947.89","83.07","998274","110.53"
"51-100","10+","102","2046.38","80.75","2077353","258.14"
"51-100","3-5","260","1347.90","82.58","1422000","198.99"
"51-100","6-10","121","1562.43","82.86","1352810","240.91"
