"genre","multiplayer_games","singleplayer_games","mp_avg_playtime","mp_avg_peak_ccu","mp_avg_owners","sp_avg_playtime","sp_avg_peak_ccu","sp_avg_owners","playtime_multiplier","owners_multiplier"
"Massively Multiplayer","684","20","1711.58","1292","1873509","229.10","0","213500","7.47","8.78"
"Racing","412","270","673.94","222","385461","301.05","25","150370","2.24","2.56"
"Action","3139","5099","703.36","666","1190105","385.11","63","279751","1.83","4.25"
"Simulation","1341","3863","1322.68","535","833043","785.62","68","193875","1.68","4.30"
"Adventure","1607","7252","850.50","906","1506733","591.92","47","231113","1.44","6.52"
"Strategy","1336","2972","1132.45","425","695142","796.31","78","206322","1.42","3.37"
"RPG","1080","3695","1256.55","873","1315574","900.19","111","284252","1.40","4.63"
"Free To Play","809","1107","1048.79","1124","1935649","816.33","61","251445","1.28","7.70"
"Sports","570","326","1170.48","450","673947","974.80","12","92546","1.20","7.28"
"Indie","3070","10678","548.84","238","625489","498.91","54","177712","1.10","3.52"
"Casual","1422","5249","630.05","169","555788","632.34","48","148724","1.00","3.74"
"Early Access","718","861","664.39","339","685237","674.92","78","175366","0.98","3.91"
